contrast	cond1	cond2	time	sample_name	sample_cond	contrast_conds
LDEQ_00	EQ	LD	00	LD_00_A	LD	LDEQ
LDEQ_00	EQ	LD	00	LD_00_B	LD	LDEQ
LDEQ_00	EQ	LD	00	LD_00_C	LD	LDEQ
LDEQ_00	EQ	LD	00	EQ_00_A	EQ	LDEQ
LDEQ_00	EQ	LD	00	EQ_00_B	EQ	LDEQ
LDEQ_00	EQ	LD	00	EQ_00_C	EQ	LDEQ
LDEQ_04	EQ	LD	04	LD_04_A	LD	LDEQ
LDEQ_04	EQ	LD	04	LD_04_B	LD	LDEQ
LDEQ_04	EQ	LD	04	LD_04_C	LD	LDEQ
LDEQ_04	EQ	LD	04	EQ_04_A	EQ	LDEQ
LDEQ_04	EQ	LD	04	EQ_04_B	EQ	LDEQ
LDEQ_04	EQ	LD	04	EQ_04_C	EQ	LDEQ
LDEQ_08	EQ	LD	08	LD_08_A	LD	LDEQ
LDEQ_08	EQ	LD	08	LD_08_B	LD	LDEQ
LDEQ_08	EQ	LD	08	LD_08_C	LD	LDEQ
LDEQ_08	EQ	LD	08	EQ_08_A	EQ	LDEQ
LDEQ_08	EQ	LD	08	EQ_08_B	EQ	LDEQ
LDEQ_08	EQ	LD	08	EQ_08_C	EQ	LDEQ
LDEQ_12	EQ	LD	12	LD_12_A	LD	LDEQ
LDEQ_12	EQ	LD	12	LD_12_B	LD	LDEQ
LDEQ_12	EQ	LD	12	LD_12_C	LD	LDEQ
LDEQ_12	EQ	LD	12	EQ_12_A	EQ	LDEQ
LDEQ_12	EQ	LD	12	EQ_12_B	EQ	LDEQ
LDEQ_12	EQ	LD	12	EQ_12_C	EQ	LDEQ
LDEQ_16	EQ	LD	16	LD_16_A	LD	LDEQ
LDEQ_16	EQ	LD	16	LD_16_B	LD	LDEQ
LDEQ_16	EQ	LD	16	LD_16_C	LD	LDEQ
LDEQ_16	EQ	LD	16	EQ_16_A	EQ	LDEQ
LDEQ_16	EQ	LD	16	EQ_16_B	EQ	LDEQ
LDEQ_16	EQ	LD	16	EQ_16_C	EQ	LDEQ
LDEQ_20	EQ	LD	20	LD_20_A	LD	LDEQ
LDEQ_20	EQ	LD	20	LD_20_B	LD	LDEQ
LDEQ_20	EQ	LD	20	LD_20_C	LD	LDEQ
LDEQ_20	EQ	LD	20	EQ_20_A	EQ	LDEQ
LDEQ_20	EQ	LD	20	EQ_20_B	EQ	LDEQ
LDEQ_20	EQ	LD	20	EQ_20_C	EQ	LDEQ
SDEQ_00	EQ	SD	00	SD_00_A	SD	SDEQ
SDEQ_00	EQ	SD	00	SD_00_B	SD	SDEQ
SDEQ_00	EQ	SD	00	SD_00_C	SD	SDEQ
SDEQ_00	EQ	SD	00	EQ_00_A	EQ	SDEQ
SDEQ_00	EQ	SD	00	EQ_00_B	EQ	SDEQ
SDEQ_00	EQ	SD	00	EQ_00_C	EQ	SDEQ
SDEQ_04	EQ	SD	04	SD_04_A	SD	SDEQ
SDEQ_04	EQ	SD	04	SD_04_B	SD	SDEQ
SDEQ_04	EQ	SD	04	SD_04_C	SD	SDEQ
SDEQ_04	EQ	SD	04	EQ_04_A	EQ	SDEQ
SDEQ_04	EQ	SD	04	EQ_04_B	EQ	SDEQ
SDEQ_04	EQ	SD	04	EQ_04_C	EQ	SDEQ
SDEQ_08	EQ	SD	08	SD_08_A	SD	SDEQ
SDEQ_08	EQ	SD	08	SD_08_B	SD	SDEQ
SDEQ_08	EQ	SD	08	SD_08_C	SD	SDEQ
SDEQ_08	EQ	SD	08	EQ_08_A	EQ	SDEQ
SDEQ_08	EQ	SD	08	EQ_08_B	EQ	SDEQ
SDEQ_08	EQ	SD	08	EQ_08_C	EQ	SDEQ
SDEQ_12	EQ	SD	12	SD_12_A	SD	SDEQ
SDEQ_12	EQ	SD	12	SD_12_B	SD	SDEQ
SDEQ_12	EQ	SD	12	SD_12_C	SD	SDEQ
SDEQ_12	EQ	SD	12	EQ_12_A	EQ	SDEQ
SDEQ_12	EQ	SD	12	EQ_12_B	EQ	SDEQ
SDEQ_12	EQ	SD	12	EQ_12_C	EQ	SDEQ
SDEQ_16	EQ	SD	16	SD_16_A	SD	SDEQ
SDEQ_16	EQ	SD	16	SD_16_B	SD	SDEQ
SDEQ_16	EQ	SD	16	SD_16_C	SD	SDEQ
SDEQ_16	EQ	SD	16	EQ_16_A	EQ	SDEQ
SDEQ_16	EQ	SD	16	EQ_16_B	EQ	SDEQ
SDEQ_16	EQ	SD	16	EQ_16_C	EQ	SDEQ
SDEQ_20	EQ	SD	20	SD_20_A	SD	SDEQ
SDEQ_20	EQ	SD	20	SD_20_B	SD	SDEQ
SDEQ_20	EQ	SD	20	SD_20_C	SD	SDEQ
SDEQ_20	EQ	SD	20	EQ_20_A	EQ	SDEQ
SDEQ_20	EQ	SD	20	EQ_20_B	EQ	SDEQ
SDEQ_20	EQ	SD	20	EQ_20_C	EQ	SDEQ
SDLD_00	SD	LD	00	SD_00_A	SD	SDLD
SDLD_00	SD	LD	00	SD_00_B	SD	SDLD
SDLD_00	SD	LD	00	SD_00_C	SD	SDLD
SDLD_00	SD	LD	00	LD_00_A	LD	SDLD
SDLD_00	SD	LD	00	LD_00_B	LD	SDLD
SDLD_00	SD	LD	00	LD_00_C	LD	SDLD
SDLD_04	SD	LD	04	SD_04_A	SD	SDLD
SDLD_04	SD	LD	04	SD_04_B	SD	SDLD
SDLD_04	SD	LD	04	SD_04_C	SD	SDLD
SDLD_04	SD	LD	04	LD_04_A	LD	SDLD
SDLD_04	SD	LD	04	LD_04_B	LD	SDLD
SDLD_04	SD	LD	04	LD_04_C	LD	SDLD
SDLD_08	SD	LD	08	SD_08_A	SD	SDLD
SDLD_08	SD	LD	08	SD_08_B	SD	SDLD
SDLD_08	SD	LD	08	SD_08_C	SD	SDLD
SDLD_08	SD	LD	08	LD_08_A	LD	SDLD
SDLD_08	SD	LD	08	LD_08_B	LD	SDLD
SDLD_08	SD	LD	08	LD_08_C	LD	SDLD
SDLD_12	SD	LD	12	SD_12_A	SD	SDLD
SDLD_12	SD	LD	12	SD_12_B	SD	SDLD
SDLD_12	SD	LD	12	SD_12_C	SD	SDLD
SDLD_12	SD	LD	12	LD_12_A	LD	SDLD
SDLD_12	SD	LD	12	LD_12_B	LD	SDLD
SDLD_12	SD	LD	12	LD_12_C	LD	SDLD
SDLD_16	SD	LD	16	SD_16_A	SD	SDLD
SDLD_16	SD	LD	16	SD_16_B	SD	SDLD
SDLD_16	SD	LD	16	SD_16_C	SD	SDLD
SDLD_16	SD	LD	16	LD_16_A	LD	SDLD
SDLD_16	SD	LD	16	LD_16_B	LD	SDLD
SDLD_16	SD	LD	16	LD_16_C	LD	SDLD
SDLD_20	SD	LD	20	SD_20_A	SD	SDLD
SDLD_20	SD	LD	20	SD_20_B	SD	SDLD
SDLD_20	SD	LD	20	SD_20_C	SD	SDLD
SDLD_20	SD	LD	20	LD_20_A	LD	SDLD
SDLD_20	SD	LD	20	LD_20_B	LD	SDLD
SDLD_20	SD	LD	20	LD_20_C	LD	SDLD
